,full_name,player_id,age,team,search_rank,sport,status,position,last_name,search_last_name,fantasy_positions,first_name,injury_status,search_full_name,active,depth_chart_position,search_first_name
8650,Lujuan Winningham,8650,None,None,9999999,nfl,Active,WR,Winningham,winningham,['WR'],Lujuan,None,lujuanwinningham,True,None,lujuan
8484,Ko Kieft,8484,24,TB,9999999,nfl,Active,TE,Kieft,kieft,['TE'],Ko,None,kokieft,True,None,ko
2752,Trent Steelman,2752,None,None,9999999,nfl,Inactive,WR,Steelman,steelman,['WR'],Trent,None,trentsteelman,False,None,trent
2392,Sammie Coates,2392,28,None,9999999,nfl,Inactive,WR,Coates,coates,['WR'],Sammie,None,sammiecoates,False,None,sammie
2711,Taylor Heinicke,2711,29,WAS,592,nfl,Active,QB,Heinicke,heinicke,['QB'],Taylor,None,taylorheinicke,True,QB,taylor
8114,Erik Ezukanma,8114,22,MIA,383,nfl,Active,WR,Ezukanma,ezukanma,['WR'],Erik,None,erikezukanma,True,RWR,erik
5208,Matt Linehan,5208,None,None,9999999,nfl,Inactive,QB,Linehan,linehan,['QB'],Matt,None,mattlinehan,False,None,matt
6311,Patrick Laird,6311,27,TB,271,nfl,Active,RB,Laird,laird,['RB'],Patrick,None,patricklaird,True,None,patrick
5163,Ryan Nall,5163,26,None,657,nfl,Inactive,RB,Nall,nall,['RB'],Ryan,IR,ryannall,True,None,ryan
695,Ted Ginn,695,36,None,210,nfl,Injured Reserve,WR,Ginn,ginn,['WR'],Ted,None,tedginn,True,None,ted
7551,Deon Jackson,7551,23,IND,475,nfl,Active,RB,Jackson,jackson,['RB'],Deon,None,deonjackson,True,None,deon
5609,Stephen Baggett,5609,None,None,9999999,nfl,Active,TE,Baggett,baggett,['TE'],Stephen,None,stephenbaggett,True,None,stephen
4179,Joshua Dobbs,4179,27,CLE,285,nfl,Active,QB,Dobbs,dobbs,['QB'],Joshua,None,joshuadobbs,True,QB,joshua
2702,John Chiles,2702,29,None,9999999,nfl,Inactive,WR,Chiles,chiles,['WR'],John,None,johnchiles,False,None,john
5804,Julian Williams,5804,None,None,9999999,nfl,Active,WR,Williams,williams,['WR'],Julian,None,julianwilliams,True,None,julian
8074,Matt Seybert,8074,24,None,None,nfl,Active,TE,Seybert,seybert,['TE'],Matt,None,mattseybert,True,None,matt
2119,James Franklin,2119,26,None,9999999,nfl,Inactive,QB,Franklin,franklin,['QB'],James,None,jamesfranklin,False,None,james
3655,Reggie Diggs,3655,28,None,9999999,nfl,Active,WR,Diggs,diggs,['WR'],Reggie,None,reggiediggs,True,None,reggie
3877,Kelsey Young,3877,25,None,9999999,nfl,Inactive,RB,Young,young,['RB'],Kelsey,None,kelseyyoung,False,None,kelsey
58,Greg Olsen,58,36,None,302,nfl,Injured Reserve,TE,Olsen,olsen,['TE'],Greg,None,gregolsen,False,None,greg
8239,Ricky Person,8239,None,None,9999999,nfl,Active,RB,Person,person,['RB'],Ricky,DNR,rickyperson,True,None,ricky
5756,Garrett Dickerson,5756,26,None,1505,nfl,Active,TE,Dickerson,dickerson,['TE'],Garrett,None,garrettdickerson,True,None,garrett
7733,Josh Pederson,7733,24,None,9999999,nfl,Active,TE,Pederson,pederson,['TE'],Josh,None,joshpederson,True,None,josh
945,Kevin Cone,945,29,None,9999999,nfl,Inactive,WR,Cone,cone,['WR'],Kevin,None,kevincone,False,None,kevin
830,A.J. Green,830,34,ARI,219,nfl,Active,WR,Green,green,['WR'],A.J.,None,ajgreen,True,LWR,aj
5384,Jonah Trinnaman,5384,25,None,9999999,nfl,Inactive,WR,Trinnaman,trinnaman,['WR'],Jonah,None,jonahtrinnaman,True,None,jonah
7553,Kyle Pitts,7553,21,ATL,20,nfl,Active,TE,Pitts,pitts,['TE'],Kyle,None,kylepitts,True,LTE,kyle
2075,Dustin Vaughan,2075,30,None,9999999,nfl,Inactive,QB,Vaughan,vaughan,['QB'],Dustin,None,dustinvaughan,False,None,dustin
1985,Marcel Jensen,1985,30,None,9999999,nfl,Inactive,TE,Jensen,jensen,['TE'],Marcel,None,marceljensen,False,None,marcel
769,Jordan Norwood,769,33,None,9999999,nfl,Inactive,WR,Norwood,norwood,['WR'],Jordan,None,jordannorwood,False,None,jordan
7351,Kirk Merritt,7351,25,NO,9999999,nfl,Active,WR,Merritt,merritt,['WR'],Kirk,None,kirkmerritt,True,RWR,kirk
2567,Bryan Bennett,2567,25,None,9999999,nfl,Inactive,QB,Bennett,bennett,['QB'],Bryan,None,bryanbennett,False,None,bryan
8169,Tre Turner,8169,None,None,9999999,nfl,Active,WR,Turner,turner,['WR'],Tre,None,treturner,True,None,tre
936,Matt Asiata,936,33,None,9999999,nfl,Inactive,RB,Asiata,asiata,['RB'],Matt,None,mattasiata,False,None,matt
8187,CJ Verdell,8187,23,None,9999999,nfl,Active,RB,Verdell,verdell,['RB'],CJ,None,cjverdell,True,None,cj
6089,Daniel Helm,6089,27,None,9999999,nfl,Active,TE,Helm,helm,['TE'],Daniel,None,danielhelm,True,None,daniel
4599,Michael Rector,4599,28,None,9999999,nfl,Active,WR,Rector,rector,['WR'],Michael,None,michaelrector,True,None,michael
1406,Reggie Dunn,1406,28,None,9999999,nfl,Inactive,WR,Dunn,dunn,['WR'],Reggie,None,reggiedunn,False,None,reggie
3852,Jaydon Mickens,3852,28,None,9999999,nfl,Active,WR,Mickens,mickens,['WR'],Jaydon,None,jaydonmickens,True,None,jaydon
7608,Khalil Herbert,7608,24,CHI,153,nfl,Active,RB,Herbert,herbert,['RB'],Khalil,None,khalilherbert,True,RB,khalil
2686,Khari Lee,2686,29,None,925,nfl,Inactive,TE,Lee,lee,['TE'],Khari,None,kharilee,False,None,khari
1339,Zach Ertz,1339,31,ARI,84,nfl,Active,TE,Ertz,ertz,['TE'],Zach,Questionable,zachertz,True,LTE,zach
954,Cam Newton,954,32,None,220,nfl,Active,QB,Newton,newton,['QB'],Cam,None,camnewton,True,None,cam
1020,Terrelle Pryor,1020,32,None,9999999,nfl,Inactive,WR,Pryor,pryor,['WR'],Terrelle,None,terrellepryor,False,None,terrelle
2601,Andre Davis,2601,25,None,9999999,nfl,Inactive,WR,Davis,davis,['WR'],Andre,None,andredavis,False,None,andre
7340,Brandon Polk,7340,25,None,9999999,nfl,Active,WR,Polk,polk,['WR'],Brandon,None,brandonpolk,True,None,brandon
5638,Shaq Roland,5638,None,CHI,1104,nfl,Active,WR,Roland,roland,['WR'],Shaq,None,shaqroland,True,None,shaq
6845,Zack Moss,6845,24,BUF,358,nfl,Active,RB,Moss,moss,['RB'],Zack,None,zackmoss,True,RB,zack
145,Rashard Mendenhall,145,30,None,9999999,nfl,Inactive,RB,Mendenhall,mendenhall,['RB'],Rashard,None,rashardmendenhall,False,None,rashard
940,Andre Holmes,940,33,None,9999999,nfl,Inactive,WR,Holmes,holmes,['WR'],Andre,None,andreholmes,False,None,andre
1848,James White,1848,30,None,278,nfl,Active,RB,White,white,['RB'],James,None,jameswhite,True,None,james
6954,Cole McDonald,6954,23,None,1790,nfl,Inactive,QB,McDonald,mcdonald,['QB'],Cole,None,colemcdonald,True,None,cole
1109,Chandler Harnish,1109,29,None,9999999,nfl,Inactive,QB,Harnish,harnish,['QB'],Chandler,None,chandlerharnish,False,None,chandler
7334,Earnest Edwards,7334,23,None,9999999,nfl,Inactive,WR,Edwards,edwards,['WR'],Earnest,None,earnestedwards,True,None,earnest
5663,Shane Wimann,5663,27,None,9999999,nfl,Inactive,RB,Wimann,wimann,['RB'],Shane,None,shanewimann,True,None,shane
5295,De'Mornay Pierson-El,5295,26,None,9999999,nfl,Active,WR,Pierson-El,piersonel,['WR'],De'Mornay,None,demornaypiersonel,True,None,demornay
5536,Dontrell Hilliard,5536,27,TEN,229,nfl,Active,RB,Hilliard,hilliard,['RB'],Dontrell,None,dontrellhilliard,True,RB,dontrell
7176,Caleb Repp,7176,24,None,9999999,nfl,Active,TE,Repp,repp,['TE'],Caleb,None,calebrepp,True,None,caleb
6269,Kyle Shurmur,6269,25,None,457,nfl,Active,QB,Shurmur,shurmur,['QB'],Kyle,None,kyleshurmur,True,None,kyle
4362,Cethan Carter,4362,26,MIA,585,nfl,Active,TE,Carter,carter,['TE'],Cethan,None,cethancarter,True,None,cethan
1654,Zach Sudfeld,1654,29,None,9999999,nfl,Inactive,TE,Sudfeld,sudfeld,['TE'],Zach,None,zachsudfeld,False,None,zach
6703,Andrew Wellock,6703,None,None,9999999,nfl,Inactive,K,Wellock,wellock,['K'],Andrew,None,andrewwellock,False,None,andrew
6091,Jovon Durante,6091,None,None,9999999,nfl,Inactive,WR,Durante,durante,['WR'],Jovon,None,jovondurante,False,None,jovon
8087,K.J. Costello,8087,25,None,9999999,nfl,Active,QB,Costello,costello,['QB'],K.J.,None,kjcostello,True,None,kj
3041,Ross Travis,3041,29,None,9999999,nfl,Active,TE,Travis,travis,['TE'],Ross,None,rosstravis,True,None,ross
118,Sebastian Janikowski,118,43,None,9999999,nfl,Injured Reserve,K,Janikowski,janikowski,['K'],Sebastian,None,sebastianjanikowski,False,None,sebastian
2585,Thomas Rawls,2585,28,None,9999999,nfl,Inactive,RB,Rawls,rawls,['RB'],Thomas,None,thomasrawls,False,None,thomas
4666,Younghoe Koo,4666,28,ATL,150,nfl,Active,K,Koo,koo,['K'],Younghoe,None,younghoekoo,True,PK,younghoe
8107,Nikola Kalinic,8107,25,IND,9999999,nfl,Active,TE,Kalinic,kalinic,['TE'],Nikola,None,nikolakalinic,True,None,nikola
362,David Johnson,362,33,None,9999999,nfl,Inactive,TE,Johnson,johnson,"['TE', 'RB']",David,None,davidjohnson,False,None,david
1352,Robert Woods,1352,30,TEN,107,nfl,Active,WR,Woods,woods,['WR'],Robert,None,robertwoods,True,LWR,robert
8233,Mataeo Durant,8233,22,None,491,nfl,Active,RB,Durant,durant,['RB'],Mataeo,None,mataeodurant,True,None,mataeo
6918,Salvon Ahmed,6918,23,MIA,306,nfl,Active,RB,Ahmed,ahmed,['RB'],Salvon,None,salvonahmed,True,None,salvon
1550,Ryan Griffin,1550,32,TB,445,nfl,Active,QB,Griffin,griffin,['QB'],Ryan,None,ryangriffin,True,None,ryan
5967,Tony Pollard,5967,25,DAL,82,nfl,Active,RB,Pollard,pollard,['RB'],Tony,None,tonypollard,True,RB,tony
49,Robbie Gould,49,39,SF,185,nfl,Active,K,Gould,gould,['K'],Robbie,None,robbiegould,True,PK,robbie
5587,Chris Warren,5587,25,None,9999999,nfl,Active,RB,Warren,warren,['RB'],Chris,None,chriswarren,True,None,chris
4704,Tyler Ferguson,4704,28,None,9999999,nfl,Active,QB,Ferguson,ferguson,['QB'],Tyler,None,tylerferguson,True,None,tyler
1804,Carey Spear,1804,25,None,9999999,nfl,Inactive,K,Spear,spear,['K'],Carey,None,careyspear,False,None,carey
2303,Josh Harris,2303,26,None,9999999,nfl,Inactive,RB,Harris,harris,['RB'],Josh,None,joshharris,False,None,josh
6637,Nico Evans,6637,25,None,9999999,nfl,Active,RB,Evans,evans,['RB'],Nico,None,nicoevans,True,None,nico
3673,Nick Rose,3673,27,None,9999999,nfl,Inactive,K,Rose,rose,['K'],Nick,None,nickrose,False,None,nick
4455,Matt Breida,4455,27,NYG,475,nfl,Active,RB,Breida,breida,['RB'],Matt,None,mattbreida,True,RB,matt
6111,Jake Browning,6111,26,CIN,526,nfl,Active,QB,Browning,browning,['QB'],Jake,None,jakebrowning,True,QB,jake
7961,Jose Borregales,7961,24,TB,426,nfl,Active,K,Borregales,borregales,['K'],Jose,None,joseborregales,True,PK,jose
8798,Felix Harper,8798,None,None,9999999,nfl,Active,QB,Harper,harper,['QB'],Felix,None,felixharper,True,None,felix
7890,Javon McKinley,7890,24,None,9999999,nfl,Inactive,WR,McKinley,mckinley,['WR'],Javon,Questionable,javonmckinley,True,None,javon
3286,Demarcus Robinson,3286,27,BAL,316,nfl,Active,WR,Robinson,robinson,['WR'],Demarcus,None,demarcusrobinson,True,RWR,demarcus
6906,Antonio Gandy-Golden,6906,24,None,9999999,nfl,Active,TE,Gandy-Golden,gandygolden,['TE'],Antonio,None,antoniogandygolden,True,None,antonio
2537,Mario Alford,2537,28,None,9999999,nfl,Inactive,WR,Alford,alford,['WR'],Mario,None,marioalford,False,None,mario
5808,Connor Jessop,5808,None,None,9999999,nfl,Active,QB,Jessop,jessop,['QB'],Connor,None,connorjessop,True,None,connor
386,Brandon Lloyd,386,36,None,9999999,nfl,Inactive,WR,Lloyd,lloyd,['WR'],Brandon,None,brandonlloyd,False,None,brandon
8553,Tre Ford,8553,24,None,9999999,nfl,Active,QB,Ford,ford,['QB'],Tre,None,treford,True,None,tre
4330,JoJo Natson,4330,27,None,9999999,nfl,Active,WR,Natson,natson,['WR'],JoJo,None,jojonatson,True,None,jojo
659,Cedric Peerman,659,33,None,9999999,nfl,Inactive,RB,Peerman,peerman,['RB'],Cedric,None,cedricpeerman,False,None,cedric
3804,Darrin Peterson,3804,24,None,9999999,nfl,Inactive,WR,Peterson,peterson,['WR'],Darrin,None,darrinpeterson,False,None,darrin
7100,Derrick Dillon,7100,26,None,9999999,nfl,Active,WR,Dillon,dillon,['WR'],Derrick,None,derrickdillon,True,None,derrick
8128,Player Invalid,8128,None,None,None,nfl,Inactive,TE,Invalid,invalid,['TE'],Player,None,playerinvalid,False,None,player
5425,John Diarse,5425,27,None,9999999,nfl,Active,WR,Diarse,diarse,['WR'],John,None,johndiarse,True,None,john
2142,Rajion Neal,2142,29,None,9999999,nfl,Active,RB,Neal,neal,['RB'],Rajion,None,rajionneal,True,None,rajion
5785,James Butler,5785,26,None,9999999,nfl,Active,RB,Butler,butler,['RB'],James,None,jamesbutler,True,None,james
7915,Landen Akers,7915,25,LAR,9999999,nfl,Active,WR,Akers,akers,['WR'],Landen,None,landenakers,True,None,landen
3653,Brandon Williams,3653,32,None,9999999,nfl,Inactive,TE,Williams,williams,['TE'],Brandon,None,brandonwilliams,False,None,brandon
7559,Ihmir Smith-Marsette,7559,23,MIN,9999999,nfl,Active,WR,Smith-Marsette,smithmarsette,['WR'],Ihmir,None,ihmirsmithmarsette,True,RWR,ihmir
8861,Irvin Charles,8861,None,NYJ,362,nfl,Active,WR,Charles,charles,['WR'],Irvin,None,irvincharles,True,LWR,irvin
3570,Brandon Ross,3570,25,None,9999999,nfl,Inactive,RB,Ross,ross,['RB'],Brandon,None,brandonross,False,None,brandon
7063,Shea Patterson,7063,24,None,9999999,nfl,Active,QB,Patterson,patterson,['QB'],Shea,None,sheapatterson,True,None,shea
8068,C.J. Saunders,8068,25,CAR,9999999,nfl,Active,WR,Saunders,saunders,['WR'],C.J.,Questionable,cjsaunders,True,SWR,cj
92,Andre Johnson,92,39,None,9999999,nfl,Inactive,WR,Johnson,johnson,['WR'],Andre,None,andrejohnson,False,None,andre
1200,Austin Davis,1200,32,None,9999999,nfl,Inactive,QB,Davis,davis,['QB'],Austin,None,austindavis,False,None,austin
3461,Russell Hansbrough,3461,28,None,9999999,nfl,Inactive,RB,Hansbrough,hansbrough,['RB'],Russell,None,russellhansbrough,False,None,russell
5800,Justin Stockton,5800,26,None,9999999,nfl,Active,RB,Stockton,stockton,['RB'],Justin,None,justinstockton,True,None,justin
1967,Seth Lobato,1967,26,None,9999999,nfl,Inactive,QB,Lobato,lobato,['QB'],Seth,None,sethlobato,False,None,seth
143,John Carlson,143,33,None,9999999,nfl,Inactive,TE,Carlson,carlson,['TE'],John,None,johncarlson,False,None,john
6203,Valentine Holmes,6203,26,None,9999999,nfl,Active,RB,Holmes,holmes,['RB'],Valentine,None,valentineholmes,True,None,valentine
7992,Matt Bushman,7992,26,KC,290,nfl,Active,TE,Bushman,bushman,['TE'],Matt,Doubtful,mattbushman,True,None,matt
2011,Juwan Thompson,2011,28,None,9999999,nfl,Inactive,RB,Thompson,thompson,['RB'],Juwan,None,juwanthompson,False,None,juwan
4665,Eli Jenkins,4665,27,None,9999999,nfl,Active,QB,Jenkins,jenkins,['QB'],Eli,None,elijenkins,True,None,eli
4504,John Robinson-Woodgett,4504,28,None,9999999,nfl,Active,RB,Robinson-Woodgett,robinsonwoodgett,['RB'],John,None,johnrobinsonwoodgett,True,None,john
380,Rashad Jennings,380,35,None,9999999,nfl,Inactive,RB,Jennings,jennings,['RB'],Rashad,None,rashadjennings,False,None,rashad
1166,Kirk Cousins,1166,34,MIN,117,nfl,Active,QB,Cousins,cousins,['QB'],Kirk,None,kirkcousins,True,QB,kirk
3475,Keyarris Garrett,3475,29,None,9999999,nfl,Active,WR,Garrett,garrett,['WR'],Keyarris,None,keyarrisgarrett,True,None,keyarris
1792,Kadron Boone,1792,27,None,9999999,nfl,Inactive,WR,Boone,boone,['WR'],Kadron,None,kadronboone,False,None,kadron
7105,Ramiz Ahmed,7105,27,GB,398,nfl,Active,K,Ahmed,ahmed,['K'],Ramiz,None,ramizahmed,True,PK,ramiz
8159,Desmond Ridder,8159,22,ATL,258,nfl,Active,QB,Ridder,ridder,['QB'],Desmond,None,desmondridder,True,QB,desmond
2088,Andre Williams,2088,28,None,9999999,nfl,Inactive,RB,Williams,williams,['RB'],Andre,None,andrewilliams,False,None,andre
8196,Ty Fryfogle,8196,23,None,698,nfl,Active,WR,Fryfogle,fryfogle,['WR'],Ty,Questionable,tyfryfogle,True,None,ty
6153,Dexter Williams,6153,25,GB,9999999,nfl,Active,RB,Williams,williams,['RB'],Dexter,None,dexterwilliams,True,None,dexter
1137,Juron Criner,1137,27,None,9999999,nfl,Inactive,WR,Criner,criner,['WR'],Juron,None,juroncriner,False,None,juron
5251,Tyler Davis,5251,27,None,9999999,nfl,Active,K,Davis,davis,['K'],Tyler,None,tylerdavis,True,None,tyler
7622,Sammis Reyes,7622,26,None,430,nfl,Inactive,TE,Reyes,reyes,['TE'],Sammis,Questionable,sammisreyes,True,None,sammis
