,team,last_name,depth_chart_position,first_name,fantasy_positions,status,position,search_full_name,player_id,full_name,sport,search_first_name,search_rank,age,injury_status,active,search_last_name
2907,None,Edwards,None,Ben,['WR'],Inactive,WR,benedwards,2907,Ben Edwards,nfl,ben,9999999,28,None,False,edwards
8778,PIT,Rigg,None,Justin,['TE'],Active,TE,justinrigg,8778,Justin Rigg,nfl,justin,311,24,None,True,rigg
111,GB,Lewis,TE,Marcedes,['TE'],Active,TE,marcedeslewis,111,Marcedes Lewis,nfl,marcedes,494,38,None,True,lewis
6446,None,Hilliman,None,Jon,['RB'],Active,RB,jonhilliman,6446,Jon Hilliman,nfl,jon,1740,26,None,True,hilliman
7064,CHI,Evans,None,Darrynton,['RB'],Active,RB,darryntonevans,7064,Darrynton Evans,nfl,darrynton,9999999,24,None,True,evans
8138,BUF,Cook,RB,James,['RB'],Active,RB,jamescook,8138,James Cook,nfl,james,103,22,None,True,cook
7594,CAR,Hubbard,RB,Chuba,['RB'],Active,RB,chubahubbard,7594,Chuba Hubbard,nfl,chuba,187,23,None,True,hubbard
2145,None,Rettig,None,Chase,['QB'],Inactive,QB,chaserettig,2145,Chase Rettig,nfl,chase,9999999,25,None,False,rettig
7108,None,Dubois,None,Hasise,['WR'],Inactive,WR,hasisedubois,7108,Hasise Dubois,nfl,hasise,9999999,None,NA,False,dubois
175,None,Nelson,None,Jordy,['WR'],Injured Reserve,WR,jordynelson,175,Jordy Nelson,nfl,jordy,9999999,36,None,False,nelson
4036,NYJ,Davis,LWR,Corey,['WR'],Active,WR,coreydavis,4036,Corey Davis,nfl,corey,416,27,None,True,davis
6618,None,Searight,None,Isaiah,['TE'],Active,TE,isaiahsearight,6618,Isaiah Searight,nfl,isaiah,9999999,24,None,True,searight
7094,None,Hajrullahu,None,Lirim,['K'],Active,K,lirimhajrullahu,7094,Lirim Hajrullahu,nfl,lirim,485,32,None,True,hajrullahu
6271,ATL,Zaccheaus,SWR,Olamide,['WR'],Active,WR,olamidezaccheaus,6271,Olamide Zaccheaus,nfl,olamide,677,25,None,True,zaccheaus
2560,None,Zenner,None,Zach,['RB'],Active,RB,zachzenner,2560,Zach Zenner,nfl,zach,9999999,30,None,True,zenner
8650,None,Winningham,None,Lujuan,['WR'],Active,WR,lujuanwinningham,8650,Lujuan Winningham,nfl,lujuan,9999999,None,None,True,winningham
8484,TB,Kieft,None,Ko,['TE'],Active,TE,kokieft,8484,Ko Kieft,nfl,ko,9999999,24,None,True,kieft
2752,None,Steelman,None,Trent,['WR'],Inactive,WR,trentsteelman,2752,Trent Steelman,nfl,trent,9999999,None,None,False,steelman
2392,None,Coates,None,Sammie,['WR'],Inactive,WR,sammiecoates,2392,Sammie Coates,nfl,sammie,9999999,28,None,False,coates
2711,WAS,Heinicke,QB,Taylor,['QB'],Active,QB,taylorheinicke,2711,Taylor Heinicke,nfl,taylor,392,29,None,True,heinicke
8114,MIA,Ezukanma,LWR,Erik,['WR'],Active,WR,erikezukanma,8114,Erik Ezukanma,nfl,erik,574,22,None,True,ezukanma
5208,None,Linehan,None,Matt,['QB'],Inactive,QB,mattlinehan,5208,Matt Linehan,nfl,matt,9999999,None,None,False,linehan
6311,TB,Laird,None,Patrick,['RB'],Active,RB,patricklaird,6311,Patrick Laird,nfl,patrick,9999999,27,None,True,laird
5163,None,Nall,None,Ryan,['RB'],Inactive,RB,ryannall,5163,Ryan Nall,nfl,ryan,657,26,IR,True,nall
695,None,Ginn,None,Ted,['WR'],Injured Reserve,WR,tedginn,695,Ted Ginn,nfl,ted,210,36,None,True,ginn
7551,IND,Jackson,RB,Deon,['RB'],Active,RB,deonjackson,7551,Deon Jackson,nfl,deon,355,23,None,True,jackson
5609,None,Baggett,None,Stephen,['TE'],Active,TE,stephenbaggett,5609,Stephen Baggett,nfl,stephen,9999999,None,None,True,baggett
4179,CLE,Dobbs,QB,Joshua,['QB'],Active,QB,joshuadobbs,4179,Joshua Dobbs,nfl,joshua,372,27,None,True,dobbs
2702,None,Chiles,None,John,['WR'],Inactive,WR,johnchiles,2702,John Chiles,nfl,john,9999999,29,None,False,chiles
5804,None,Williams,None,Julian,['WR'],Active,WR,julianwilliams,5804,Julian Williams,nfl,julian,9999999,None,None,True,williams
8074,None,Seybert,None,Matt,['TE'],Active,TE,mattseybert,8074,Matt Seybert,nfl,matt,None,24,None,True,seybert
2119,None,Franklin,None,James,['QB'],Inactive,QB,jamesfranklin,2119,James Franklin,nfl,james,9999999,26,None,False,franklin
3655,None,Diggs,None,Reggie,['WR'],Active,WR,reggiediggs,3655,Reggie Diggs,nfl,reggie,9999999,28,None,True,diggs
3877,None,Young,None,Kelsey,['RB'],Inactive,RB,kelseyyoung,3877,Kelsey Young,nfl,kelsey,9999999,25,None,False,young
58,None,Olsen,None,Greg,['TE'],Injured Reserve,TE,gregolsen,58,Greg Olsen,nfl,greg,302,36,None,False,olsen
8239,None,Person,None,Ricky,['RB'],Active,RB,rickyperson,8239,Ricky Person,nfl,ricky,9999999,None,DNR,True,person
5756,None,Dickerson,None,Garrett,['TE'],Active,TE,garrettdickerson,5756,Garrett Dickerson,nfl,garrett,1505,26,None,True,dickerson
7733,None,Pederson,None,Josh,['TE'],Active,TE,joshpederson,7733,Josh Pederson,nfl,josh,9999999,24,None,True,pederson
945,None,Cone,None,Kevin,['WR'],Inactive,WR,kevincone,945,Kevin Cone,nfl,kevin,9999999,29,None,False,cone
830,ARI,Green,RWR,A.J.,['WR'],Active,WR,ajgreen,830,A.J. Green,nfl,aj,213,34,None,True,green
5384,None,Trinnaman,None,Jonah,['WR'],Inactive,WR,jonahtrinnaman,5384,Jonah Trinnaman,nfl,jonah,9999999,25,None,True,trinnaman
7553,ATL,Pitts,TE,Kyle,['TE'],Active,TE,kylepitts,7553,Kyle Pitts,nfl,kyle,21,21,None,True,pitts
2075,None,Vaughan,None,Dustin,['QB'],Inactive,QB,dustinvaughan,2075,Dustin Vaughan,nfl,dustin,9999999,30,None,False,vaughan
1985,None,Jensen,None,Marcel,['TE'],Inactive,TE,marceljensen,1985,Marcel Jensen,nfl,marcel,9999999,30,None,False,jensen
769,None,Norwood,None,Jordan,['WR'],Inactive,WR,jordannorwood,769,Jordan Norwood,nfl,jordan,9999999,33,None,False,norwood
7351,NO,Merritt,None,Kirk,['WR'],Active,WR,kirkmerritt,7351,Kirk Merritt,nfl,kirk,9999999,25,None,True,merritt
2567,None,Bennett,None,Bryan,['QB'],Inactive,QB,bryanbennett,2567,Bryan Bennett,nfl,bryan,9999999,25,None,False,bennett
8169,None,Turner,None,Tre,['WR'],Active,WR,treturner,8169,Tre Turner,nfl,tre,9999999,None,None,True,turner
936,None,Asiata,None,Matt,['RB'],Inactive,RB,mattasiata,936,Matt Asiata,nfl,matt,9999999,33,None,False,asiata
8187,None,Verdell,None,CJ,['RB'],Active,RB,cjverdell,8187,CJ Verdell,nfl,cj,9999999,23,None,True,verdell
6089,None,Helm,None,Daniel,['TE'],Active,TE,danielhelm,6089,Daniel Helm,nfl,daniel,9999999,27,None,True,helm
4599,None,Rector,None,Michael,['WR'],Active,WR,michaelrector,4599,Michael Rector,nfl,michael,9999999,28,None,True,rector
1406,None,Dunn,None,Reggie,['WR'],Inactive,WR,reggiedunn,1406,Reggie Dunn,nfl,reggie,9999999,28,None,False,dunn
3852,None,Mickens,None,Jaydon,['WR'],Active,WR,jaydonmickens,3852,Jaydon Mickens,nfl,jaydon,9999999,28,None,True,mickens
7608,CHI,Herbert,RB,Khalil,['RB'],Active,RB,khalilherbert,7608,Khalil Herbert,nfl,khalil,146,24,None,True,herbert
2686,None,Lee,None,Khari,['TE'],Inactive,TE,kharilee,2686,Khari Lee,nfl,khari,925,29,None,False,lee
1339,ARI,Ertz,TE,Zach,['TE'],Active,TE,zachertz,1339,Zach Ertz,nfl,zach,83,31,Questionable,True,ertz
954,None,Newton,None,Cam,['QB'],Active,QB,camnewton,954,Cam Newton,nfl,cam,220,32,None,True,newton
1020,None,Pryor,None,Terrelle,['WR'],Inactive,WR,terrellepryor,1020,Terrelle Pryor,nfl,terrelle,9999999,32,None,False,pryor
2601,None,Davis,None,Andre,['WR'],Inactive,WR,andredavis,2601,Andre Davis,nfl,andre,9999999,25,None,False,davis
7340,None,Polk,None,Brandon,['WR'],Active,WR,brandonpolk,7340,Brandon Polk,nfl,brandon,9999999,25,None,True,polk
5638,CHI,Roland,None,Shaq,['WR'],Active,WR,shaqroland,5638,Shaq Roland,nfl,shaq,1104,None,None,True,roland
6845,BUF,Moss,RB,Zack,['RB'],Active,RB,zackmoss,6845,Zack Moss,nfl,zack,449,24,None,True,moss
145,None,Mendenhall,None,Rashard,['RB'],Inactive,RB,rashardmendenhall,145,Rashard Mendenhall,nfl,rashard,9999999,30,None,False,mendenhall
940,None,Holmes,None,Andre,['WR'],Inactive,WR,andreholmes,940,Andre Holmes,nfl,andre,9999999,33,None,False,holmes
1848,None,White,None,James,['RB'],Active,RB,jameswhite,1848,James White,nfl,james,278,30,None,True,white
6954,None,McDonald,None,Cole,['QB'],Inactive,QB,colemcdonald,6954,Cole McDonald,nfl,cole,1790,23,None,True,mcdonald
1109,None,Harnish,None,Chandler,['QB'],Inactive,QB,chandlerharnish,1109,Chandler Harnish,nfl,chandler,9999999,29,None,False,harnish
7334,None,Edwards,None,Earnest,['WR'],Inactive,WR,earnestedwards,7334,Earnest Edwards,nfl,earnest,9999999,23,None,True,edwards
5663,None,Wimann,None,Shane,['RB'],Inactive,RB,shanewimann,5663,Shane Wimann,nfl,shane,9999999,27,None,True,wimann
5295,None,Pierson-El,None,De'Mornay,['WR'],Active,WR,demornaypiersonel,5295,De'Mornay Pierson-El,nfl,demornay,9999999,26,None,True,piersonel
5536,TEN,Hilliard,RB,Dontrell,['RB'],Active,RB,dontrellhilliard,5536,Dontrell Hilliard,nfl,dontrell,225,27,None,True,hilliard
7176,None,Repp,None,Caleb,['TE'],Active,TE,calebrepp,7176,Caleb Repp,nfl,caleb,9999999,24,None,True,repp
6269,None,Shurmur,None,Kyle,['QB'],Active,QB,kyleshurmur,6269,Kyle Shurmur,nfl,kyle,457,25,None,True,shurmur
4362,MIA,Carter,None,Cethan,['TE'],Active,TE,cethancarter,4362,Cethan Carter,nfl,cethan,618,27,None,True,carter
1654,None,Sudfeld,None,Zach,['TE'],Inactive,TE,zachsudfeld,1654,Zach Sudfeld,nfl,zach,9999999,29,None,False,sudfeld
6703,None,Wellock,None,Andrew,['K'],Inactive,K,andrewwellock,6703,Andrew Wellock,nfl,andrew,9999999,None,None,False,wellock
6091,None,Durante,None,Jovon,['WR'],Inactive,WR,jovondurante,6091,Jovon Durante,nfl,jovon,9999999,None,None,False,durante
8087,None,Costello,None,K.J.,['QB'],Active,QB,kjcostello,8087,K.J. Costello,nfl,kj,9999999,25,None,True,costello
3041,None,Travis,None,Ross,['TE'],Active,TE,rosstravis,3041,Ross Travis,nfl,ross,9999999,29,None,True,travis
118,None,Janikowski,None,Sebastian,['K'],Injured Reserve,K,sebastianjanikowski,118,Sebastian Janikowski,nfl,sebastian,9999999,43,None,False,janikowski
2585,None,Rawls,None,Thomas,['RB'],Inactive,RB,thomasrawls,2585,Thomas Rawls,nfl,thomas,9999999,28,None,False,rawls
4666,ATL,Koo,PK,Younghoe,['K'],Active,K,younghoekoo,4666,Younghoe Koo,nfl,younghoe,152,28,None,True,koo
8107,IND,Kalinic,None,Nikola,['TE'],Active,TE,nikolakalinic,8107,Nikola Kalinic,nfl,nikola,317,25,None,True,kalinic
362,None,Johnson,None,David,"['TE', 'RB']",Inactive,TE,davidjohnson,362,David Johnson,nfl,david,9999999,33,None,False,johnson
1352,TEN,Woods,LWR,Robert,['WR'],Active,WR,robertwoods,1352,Robert Woods,nfl,robert,106,30,None,True,woods
8233,None,Durant,None,Mataeo,['RB'],Active,RB,mataeodurant,8233,Mataeo Durant,nfl,mataeo,491,22,None,True,durant
6918,MIA,Ahmed,None,Salvon,['RB'],Active,RB,salvonahmed,6918,Salvon Ahmed,nfl,salvon,520,23,Questionable,True,ahmed
1550,TB,Griffin,None,Ryan,['QB'],Active,QB,ryangriffin,1550,Ryan Griffin,nfl,ryan,431,32,None,True,griffin
5967,DAL,Pollard,RB,Tony,['RB'],Active,RB,tonypollard,5967,Tony Pollard,nfl,tony,83,25,None,True,pollard
49,SF,Gould,PK,Robbie,['K'],Active,K,robbiegould,49,Robbie Gould,nfl,robbie,184,39,None,True,gould
5587,None,Warren,None,Chris,['RB'],Active,RB,chriswarren,5587,Chris Warren,nfl,chris,9999999,25,None,True,warren
4704,None,Ferguson,None,Tyler,['QB'],Active,QB,tylerferguson,4704,Tyler Ferguson,nfl,tyler,9999999,28,None,True,ferguson
1804,None,Spear,None,Carey,['K'],Inactive,K,careyspear,1804,Carey Spear,nfl,carey,9999999,25,None,False,spear
2303,None,Harris,None,Josh,['RB'],Inactive,RB,joshharris,2303,Josh Harris,nfl,josh,9999999,26,None,False,harris
6637,None,Evans,None,Nico,['RB'],Active,RB,nicoevans,6637,Nico Evans,nfl,nico,9999999,25,None,True,evans
3673,None,Rose,None,Nick,['K'],Inactive,K,nickrose,3673,Nick Rose,nfl,nick,9999999,27,None,False,rose
4455,NYG,Breida,RB,Matt,['RB'],Active,RB,mattbreida,4455,Matt Breida,nfl,matt,454,27,None,True,breida
6111,CIN,Browning,None,Jake,['QB'],Active,QB,jakebrowning,6111,Jake Browning,nfl,jake,473,26,None,True,browning
7961,None,Borregales,None,Jose,['K'],Active,K,joseborregales,7961,Jose Borregales,nfl,jose,473,24,None,True,borregales
8798,None,Harper,None,Felix,['QB'],Active,QB,felixharper,8798,Felix Harper,nfl,felix,9999999,None,None,True,harper
7890,None,McKinley,None,Javon,['WR'],Inactive,WR,javonmckinley,7890,Javon McKinley,nfl,javon,9999999,24,Questionable,True,mckinley
3286,BAL,Robinson,RWR,Demarcus,['WR'],Active,WR,demarcusrobinson,3286,Demarcus Robinson,nfl,demarcus,474,27,None,True,robinson
6906,None,Gandy-Golden,None,Antonio,['TE'],Active,TE,antoniogandygolden,6906,Antonio Gandy-Golden,nfl,antonio,9999999,24,None,True,gandygolden
2537,None,Alford,None,Mario,['WR'],Inactive,WR,marioalford,2537,Mario Alford,nfl,mario,9999999,28,None,False,alford
5808,None,Jessop,None,Connor,['QB'],Active,QB,connorjessop,5808,Connor Jessop,nfl,connor,9999999,None,None,True,jessop
386,None,Lloyd,None,Brandon,['WR'],Inactive,WR,brandonlloyd,386,Brandon Lloyd,nfl,brandon,9999999,36,None,False,lloyd
8553,None,Ford,None,Tre,['QB'],Active,QB,treford,8553,Tre Ford,nfl,tre,9999999,24,None,True,ford
4330,None,Natson,None,JoJo,['WR'],Active,WR,jojonatson,4330,JoJo Natson,nfl,jojo,9999999,27,None,True,natson
659,None,Peerman,None,Cedric,['RB'],Inactive,RB,cedricpeerman,659,Cedric Peerman,nfl,cedric,9999999,33,None,False,peerman
3804,None,Peterson,None,Darrin,['WR'],Inactive,WR,darrinpeterson,3804,Darrin Peterson,nfl,darrin,9999999,24,None,False,peterson
7100,None,Dillon,None,Derrick,['WR'],Active,WR,derrickdillon,7100,Derrick Dillon,nfl,derrick,9999999,26,None,True,dillon
8128,None,Invalid,None,Player,['TE'],Inactive,TE,playerinvalid,8128,Player Invalid,nfl,player,None,None,None,False,invalid
5425,None,Diarse,None,John,['WR'],Active,WR,johndiarse,5425,John Diarse,nfl,john,9999999,27,None,True,diarse
2142,None,Neal,None,Rajion,['RB'],Active,RB,rajionneal,2142,Rajion Neal,nfl,rajion,9999999,29,None,True,neal
5785,None,Butler,None,James,['RB'],Active,RB,jamesbutler,5785,James Butler,nfl,james,9999999,26,None,True,butler
7915,None,Akers,None,Landen,['WR'],Active,WR,landenakers,7915,Landen Akers,nfl,landen,9999999,25,None,True,akers
3653,None,Williams,None,Brandon,['TE'],Inactive,TE,brandonwilliams,3653,Brandon Williams,nfl,brandon,9999999,32,None,False,williams
7559,CHI,Smith-Marsette,LWR,Ihmir,['WR'],Active,WR,ihmirsmithmarsette,7559,Ihmir Smith-Marsette,nfl,ihmir,9999999,23,None,True,smithmarsette
8861,NYJ,Charles,None,Irvin,['WR'],Active,WR,irvincharles,8861,Irvin Charles,nfl,irvin,9999999,25,None,True,charles
3570,None,Ross,None,Brandon,['RB'],Inactive,RB,brandonross,3570,Brandon Ross,nfl,brandon,9999999,25,None,False,ross
7063,None,Patterson,None,Shea,['QB'],Active,QB,sheapatterson,7063,Shea Patterson,nfl,shea,9999999,24,None,True,patterson
8068,CAR,Saunders,None,C.J.,['WR'],Active,WR,cjsaunders,8068,C.J. Saunders,nfl,cj,329,25,None,True,saunders
92,None,Johnson,None,Andre,['WR'],Inactive,WR,andrejohnson,92,Andre Johnson,nfl,andre,9999999,39,None,False,johnson
1200,None,Davis,None,Austin,['QB'],Inactive,QB,austindavis,1200,Austin Davis,nfl,austin,9999999,32,None,False,davis
3461,None,Hansbrough,None,Russell,['RB'],Inactive,RB,russellhansbrough,3461,Russell Hansbrough,nfl,russell,9999999,28,None,False,hansbrough
5800,None,Stockton,None,Justin,['RB'],Active,RB,justinstockton,5800,Justin Stockton,nfl,justin,9999999,26,None,True,stockton
1967,None,Lobato,None,Seth,['QB'],Inactive,QB,sethlobato,1967,Seth Lobato,nfl,seth,9999999,26,None,False,lobato
143,None,Carlson,None,John,['TE'],Inactive,TE,johncarlson,143,John Carlson,nfl,john,9999999,33,None,False,carlson
6203,None,Holmes,None,Valentine,['RB'],Active,RB,valentineholmes,6203,Valentine Holmes,nfl,valentine,9999999,26,None,True,holmes
7992,None,Bushman,None,Matt,['TE'],Inactive,TE,mattbushman,7992,Matt Bushman,nfl,matt,342,26,Questionable,True,bushman
2011,None,Thompson,None,Juwan,['RB'],Inactive,RB,juwanthompson,2011,Juwan Thompson,nfl,juwan,9999999,28,None,False,thompson
4665,None,Jenkins,None,Eli,['QB'],Active,QB,elijenkins,4665,Eli Jenkins,nfl,eli,9999999,27,None,True,jenkins
4504,None,Robinson-Woodgett,None,John,['RB'],Active,RB,johnrobinsonwoodgett,4504,John Robinson-Woodgett,nfl,john,9999999,28,None,True,robinsonwoodgett
380,None,Jennings,None,Rashad,['RB'],Inactive,RB,rashadjennings,380,Rashad Jennings,nfl,rashad,9999999,35,None,False,jennings
1166,MIN,Cousins,QB,Kirk,['QB'],Active,QB,kirkcousins,1166,Kirk Cousins,nfl,kirk,119,34,None,True,cousins
3475,None,Garrett,None,Keyarris,['WR'],Active,WR,keyarrisgarrett,3475,Keyarris Garrett,nfl,keyarris,9999999,29,None,True,garrett
1792,None,Boone,None,Kadron,['WR'],Inactive,WR,kadronboone,1792,Kadron Boone,nfl,kadron,9999999,27,None,False,boone
7105,GB,Ahmed,None,Ramiz,['K'],Active,K,ramizahmed,7105,Ramiz Ahmed,nfl,ramiz,9999999,27,None,True,ahmed
8159,ATL,Ridder,QB,Desmond,['QB'],Active,QB,desmondridder,8159,Desmond Ridder,nfl,desmond,293,23,None,True,ridder
2088,None,Williams,None,Andre,['RB'],Inactive,RB,andrewilliams,2088,Andre Williams,nfl,andre,9999999,28,None,False,williams
8196,None,Fryfogle,None,Ty,['WR'],Active,WR,tyfryfogle,8196,Ty Fryfogle,nfl,ty,698,23,Questionable,True,fryfogle
6153,None,Williams,None,Dexter,['RB'],Active,RB,dexterwilliams,6153,Dexter Williams,nfl,dexter,9999999,25,None,True,williams
1137,None,Criner,None,Juron,['WR'],Inactive,WR,juroncriner,1137,Juron Criner,nfl,juron,9999999,27,None,False,criner
5251,None,Davis,None,Tyler,['K'],Active,K,tylerdavis,5251,Tyler Davis,nfl,tyler,9999999,27,None,True,davis
7622,None,Reyes,None,Sammis,['TE'],Inactive,TE,sammisreyes,7622,Sammis Reyes,nfl,sammis,430,26,Questionable,True,reyes
